sequence	16S_rRNA_Count	metadata_NSTI	best_domain	closest_reference_genome
b2ed12429cd0ecd7f0192bf63be9a167	2	0.00015	bac	GCF_900155425.1
9f4c6097008e6b1a1130eba7ec6c0662	3	0.308762	bac	GCF_004103755.1
325599a35d8bb78d0f5d73edbfb4126e	1	0.444376	bac	GCF_003149105.1
72e44d5c1dc2fdd338211f70f4348f59	3	0.297346	bac	GCA_900184925.1
408a0ffad66b0dad925b4c2c85e3c763	1	0.052491	bac	GCF_023347275.1
887311a078dedc256ae8e0104cb4d0f6	1	0.228385	bac	GCA_015067305.1
e3070c12c542bb67b83fecc94ca6c7f6	3	0.126942	bac	GCA_017569285.1
a3e40c724c976181fabb7f6346b32df3	1	0.00015	bac	GCF_000158035.1
9ec449282213b2e244dfed64e7111b7d	1	0.111719	bac	GCA_902762495.1
90f5b7ddec12f23e00abe0495b40060a	1	0.122208	bac	GCA_010206265.1
b1b5f95a8dd3e48c4f93ec3b1f3f0306	1	0.226057	bac	GCA_910577815.1
cfe989b91c94b51734a16a4eca2f78e3	1	0.051489	bac	GCF_002160015.1
a568137f0aece6dcca012a51338083e6	1	0.145242	bac	GCA_021202555.1
a549d9c37e2284be48eb257e8371b2c4	1	0.164312	bac	GCA_900115795.1
c0fb5c4dcad0a3604d3c49ad44009118	1	0.00015	bac	GCA_004552485.1
caeef134d88cb823dc328f93b3807d67	1	0.00015	bac	GCF_000239295.1
5ece847c4fb63e692a2eaa9ce19b6e49	5	0.00015	bac	GCF_020735385.1
1fec7629a26d9efc49b47dfed896d821	3	0.217035	bac	GCA_018118585.1
a46da541f14ed29d72f213eb45e20aa0	3	0.282389	bac	GCF_018847375.1
e5d5b5dd133158984d4e3ba7ae2a3180	1	0.175389	bac	GCF_014287875.1
cf02afdc0b069b82983ddb67ffeeb422	1	0.108072	bac	GCF_001808555.1
4c41bdb4eaca34a0631393d532dd3904	1	0.172175	bac	GCF_900289145.1
f16efac0c9e612d74e7ccc6befb08171	1	0.290027	bac	GCF_014287275.1
3b129d77045ad753d0bd72b63f0dc4c7	1	0.00015	bac	GCF_900129135.1
351dc667bc6e17bc6066f7eab546de93	1	0.014257	bac	GCF_009696065.1
f9c7890cfc40a2fcd288c510d87815bc	6	0.014518	bac	GCF_010669225.1
086563e7b5a95ca19cc497be6cec4158	3	0.00015	bac	GCF_014384745.1
4109a4328bb7b0bf9535b9e1bfeaf848	1	0.020784	bac	GCA_902362435.1
92e171e3e9f2a1b38dfc10aa32ffbf0d	1	0.00015	bac	GCF_900078545.1
a3f38d92754b14fdca3953b4ffd19ec3	6	0.014539	bac	GCA_025151535.1
00d4bac2d1ca2f356752bcd0f3fd893a	6	0.504666	bac	GCF_018141445.1
cb5b9262cc8d776a62e2879d893fcf0d	1	0.103262	bac	GCF_003458715.1
80c5e7be0dc7b2da867d8d16620de915	1	0.00015	bac	GCF_018390535.1
05773675962dccab6b4d705f48bb2176	1	0.014759	bac	GCA_022009815.1
966075d2c88c3020ba33f96d453ff128	1	0.578327	bac	GCA_902362455.1
a0ecfe29fe817092dd6eb233baf437c6	1	0.465069	bac	GCF_000213255.1
b9bf0034223e9aa948698fa5cd13f4f1	5	0.00015	bac	GCF_900537995.1
ce8c4b60b1ded77428c49df778f92e17	1	0.00015	bac	GCF_900120005.1
2c18552c610175510625286e618d4333	3	0.279116	bac	GCA_017569285.1
6c823f8f4fa14cff3cce097d4bc3d7b4	1	0.014285	bac	GCF_002159175.1
9255275cc0ddbaccb06e000e59d8e3b0	1	0.125028	bac	GCA_910577155.1
a12d5832cee87f914df2a72b0cd14128	1	0.015271	bac	GCA_025152405.1
f46a4ecff078b8339a4d3a6c97762b3b	1	0.140946	bac	GCA_910588185.1
3b4f7c4618e71fad3c53622132505b4d	1	0.018741	bac	GCF_002160865.1
fd8a0ccd2a18f9b7977e97d499c0fd4d	1	0.021406	bac	GCF_021531995.1
ad2289f8b2613ea09aaf5f678ab35146	1	0.111478	bac	GCA_000701945.1
f3675f9fd5953ac54c4548a07b267d6b	1	0.00015	bac	GCF_003467125.1
d9a362e18e45af99918cb9fbb32e304d	1	0.01476	bac	GCF_002160815.1
0bbb8f9baad9dea3ef055d0ce9215df5	1	0.014095	bac	GCF_000765235.1
5810abd29c90a46169ebb784f1261bd4	1	0.155721	bac	GCF_014384785.1
780f6e63ff8f2c194fb2a66e4e94391e	5	0.014958	bac	GCF_900537995.1
dbc3f2aaa280a6677996d7f306305be4	1	0.131332	bac	GCA_020687485.1
d85241e35964214f8d57dfa870d4faf0	1	0.00015	bac	GCA_003481005.1
6bcdbc488fd55884da50f46592746197	1	0.00015	bac	GCF_001436255.1
786f170f419f18071e83f9193a47994c	1	0.044094	bac	GCF_022809355.1
bed24773282185bdb52ccfb593b79b6f	1	0.014337	bac	GCF_014287815.1
642a587098f7a66baa7f4483752f98ea	1	0.00015	bac	GCF_900103425.1
0d6ba791dbc4e7f051582334407c15b0	1	0.045763	bac	GCF_009696275.1
2e5a6889b29863b75383a045bcb98f9a	1	0.127774	bac	GCF_014281125.1
22f33c1b58614c248b71aa96ab73b828	1	0.014711	bac	GCF_013300725.1
435dafd3561cc8bbaccd3933237a4077	1	0.030913	bac	GCF_023347275.1
68971ecf9f658dcd3b8154b899389cf6	1	0.108337	bac	GCA_014385025.1
b7db7f06d081c70ccc6b990ad2731917	1	0.014747	bac	GCF_003471165.1
8fcb87ac687baaf9e28efe1a641fcfe7	3	0.00015	bac	GCF_000223315.1
468ff20c4e3111b9c35a09bab50e300f	1	0.173008	bac	GCA_900767815.1
3f7ffa5f9a401aa8a89a0550d1817546	1	0.064517	bac	GCF_003458715.1
ce72a1c3c47d42ecb8ec239ecfe7ff84	2	0.095732	bac	GCA_904424815.1
64dd1cb3632238d5c5e650ca7bbe46f4	1	0.128995	bac	GCA_009911355.1
6d8ed99c10d5fb158ab3a456ee883248	1	0.185038	bac	GCA_002841545.1
c22504464be2157516b8fa5c79026e9a	1	0.122075	bac	GCA_000701945.1
f3e7945b6db057401e7e97223ef6d31c	1	0.014765	bac	GCF_003435375.1
fccd9162b2563c78f73dda1bb0165414	1	0.014529	bac	GCF_001486165.1
8095b4c854ebbefee8f508468cceffee	1	0.037784	bac	GCA_021201135.1
98860fd91083808b1fb149c066fdc964	1	0.00015	bac	GCF_004134775.1
edd41f0e972b9958e33abdc28c54964c	4	0.107182	bac	GCF_000723465.1
3b27c4b46fe7b1702bef973216452dc1	1	0.014119	bac	GCF_014297285.1
7291d0707c6395f1c13c951db0492932	2	0.00015	bac	GCF_000969835.1
7e969d5545d5070c20e12d449f92ad0b	1	0.076115	bac	GCF_003435815.1
bed42fa1a9e98a0f09c94d4654d8eed3	1	0.03357	bac	GCA_910575275.1
e7851ceb3dd8b993703751658ac77728	5	0.108986	bac	GCF_000746025.2
0718e4325d160250151ac7c4bf079c7a	1	0.258378	bac	GCF_000820765.1
198b4972f9c890617ec3f5f892ca207b	1	0.004998	bac	GCF_000173975.1
e36eb0afe88b56c2e1df32404bdeb514	1	0.137257	bac	GCA_015055965.1
78936f3e005a223bdc68f1dfbf6cabd4	1	0.02902	bac	GCF_000466485.1
ca66d99367cc70d31d56b76396492aef	3	0.256867	bac	GCA_900769075.1
192ae4ecaaad1c5971a085e02bce7052	1	0.500756	bac	GCF_002159845.1
d36219c2a9f23cdd7340ee54c8899767	5	0.014684	bac	GCF_001701045.1
9fe0e98667e3b1ff960dfe06778319e8	1	0.00015	bac	GCA_934096605.1
73619e3082b3437af62bcd3ec53668e2	1	0.467629	bac	GCF_000213255.1
b532939fa2c6101f6de334e290602b1e	1	0.185687	bac	GCA_014385095.1
cb5fd5adeb26ef2f495b33035870a7ca	5	0.030316	bac	GCF_001042615.1
b9c48b52a55b0fe5b0681c0a3e65f45b	9	0.079491	bac	GCF_024499055.1
1f4c84d60d0bfb6b2ee35e96ace935e6	2	0.00015	arc	GCF_000016525.1
18cc0d51e0cae9b97742ff4553309663	1	0.014495	bac	GCF_015557635.1
4b24a4e78bebb17d0f6c422da405455a	1	0.185857	bac	GCA_015055625.1
b5a35bd53af882d346fbdb96c665877d	5	0.146398	bac	GCF_002234575.2
d010b93905df2d9ffd52d211a29ce5f2	1	0.00015	bac	GCF_015557635.1
15a4020faf36307f63c236b29a28d2fd	1	0.124897	bac	GCA_902765005.1
1700e4ad73420f79e56ccd89ea1bf890	1	0.00015	bac	GCA_022774645.1
2d45ce84e2384e1cb9a41aa6ee57ed00	1	0.047138	bac	GCF_009696275.1
4a8d488f47c4aa00527877e4cc8b1a22	1	0.255671	bac	GCA_944376295.1
1d7bdaaef984712c9d14f4a51194bdbc	1	0.070953	bac	GCF_002160895.1
636c437fecbbb91cba3804e3fccef3a8	1	0.014146	bac	GCF_014306095.1
7609dffc21299364a117d58b019f9122	1	0.00015	bac	GCF_016901815.1
50aaf49c2b49d73882e4a5c14aef75b2	1	0.00015	bac	GCF_024294905.1
51eab6a74c8ff1125568f34af77f2999	3	0.126942	bac	GCA_017569285.1
85ba63a1bdfd63bb1b3ff84128be5fad	1	0.396122	bac	GCA_020555605.1
db7d09e9a96be2f95e1dbee3a242e520	1	0.114903	bac	GCF_001940225.1
6c40d5948b4a9503518b53ad63bb986b	1	0.057019	bac	GCA_900103495.1
60d979c9e03cc31e9ddc100d8e336f66	3	0.339662	bac	GCF_000178115.2
acdb13b469aae1c8f52600519de96b0d	1	0.189472	bac	GCF_002874775.1
01f593727711cfe87261cea2c7cfa956	5	0.00015	bac	GCF_003641185.1
04adba81b23c68e9990ced58e07b1820	1	0.10994	bac	GCA_916988195.3
5f8980de0e9de4382d134602e768eb17	1	0.00015	bac	GCF_000758755.1
91d4851da9d44068415f3c834c0fe5f1	1	0.090028	bac	GCA_903868125.1
d11091b208b71513a1004471fae0e46c	1	0.113582	bac	GCF_900176335.1
d201e17d0a5fcdc153b0dcceafc712c7	1	0.214221	bac	GCA_001604185.1
62b77196592e80ea8c281f8cbf261208	1	0.00015	bac	GCA_001487125.1
6e5cf00f2bd6e9b4ef9bd30f8281887a	1	0.117801	bac	GCA_900539265.1
5f29a8d04b2443d99eea6e39f2684881	1	0.219281	bac	GCA_022870705.1
ace1dc7b66cdb67e2bdf6b893d7653de	1	0.143138	bac	GCA_905199855.1
9ad135868533716f65092da23f82abfb	1	0.035128	bac	GCA_025147765.1
647baa61a4c56a461a4d83e1b2f1aa34	1	0.124897	bac	GCA_902765005.1
577e61ec30a681452966a3f75228a72d	1	0.178808	bac	GCF_016901775.1
34548fe9f050b53bdfd5d676506dc7fa	1	0.062265	bac	GCA_022835495.1
861e6fea138e7222f6376920e3832f25	1	0.215569	bac	GCA_000620945.1
b9517a400811d58e047ab0fa421d7d0f	1	0.014596	bac	GCF_003460605.1
e01486f15a95a33cf08efc0fcff81e1e	1	0.00015	bac	GCF_014131695.1
962c3fb9b908acd2697cc9396178dca5	1	0.17811	bac	GCA_910577815.1
e4d73c37d5ca4c7545fbc85207860622	1	0.032447	bac	GCF_004340975.1
41fa3a7c48891d419c88bad3bc29ea0c	1	0.117167	bac	GCA_025148285.1
dbdcb29406c099c986c8c61ba9229513	1	0.334991	bac	GCA_000285855.2
79234005dc336406fd2f28741fdfa28a	1	0.083914	bac	GCA_944362615.1
10b098526363119708bfd778018a12d4	7	0.014127	bac	GCF_000012825.1
2f06b2c16874eb80cee75702d2a60a76	1	0.066576	bac	GCA_022867625.1
7036f59f19e83ac9f4b4fbb2985524b9	1	0.348975	bac	GCF_000174815.1
0f016f1ca225d3c8be8dbfb41536f276	1	0.020881	bac	GCF_023347275.1
b3ea2a05040c9d81fa9afc4451049df3	2	0.087305	bac	GCF_004154955.1
c95c7e0870ee180f88aa8e7e77779898	1	0.12214	bac	GCF_001561955.1
8d6c74e57f77a597940306451280597f	1	0.222701	bac	GCA_900543675.1
0b5f034d910764e6e03556b4aa3cde3d	1	0.00015	bac	GCA_902363255.1
4cf86c75bae05268be6f2eb326456896	1	0.062137	bac	GCA_902785135.1
bd165e4932c0f48ef055bfb9abfe0586	1	0.0164	bac	GCA_934309345.1
c680a1e2e2a08d104154e31f69e31ccc	1	0.013765	bac	GCA_025150425.1
2193f85468b5044c7d34fe61f7a276f1	1	0.01429	bac	GCF_007954625.1
28713b77a9a02a4cc30c3f0e36b7d64b	1	0.232098	bac	GCA_022846035.1
ce166526cc1ab3a0002de9952594e449	1	0.099033	bac	GCF_009695995.1
9420522fd16aacc301bb420ce1926495	1	0.592375	bac	GCA_900114405.1
2ddd8d0b9aae935b01ad85ab947f6b1e	1	0.333519	bac	GCA_010206265.1
aa8a3e00735d3df2048d83e12c0a9982	1	0.014788	bac	GCF_003287495.1
d91993e73d3270e881bae0e32db36862	1	0.135532	bac	GCF_016901775.1
2cc65a3b4f95a0b566e782fef147b62b	1	0.00015	bac	GCA_003478355.1
18b4dac0b9d56f269aeda6f2d52484db	1	0.00015	bac	GCF_000160055.1
f63111eb45a35d0543b97eb96dff76a6	6	0.601031	bac	GCF_014218335.1
8ca1c20a357d6cba6cbd6d330afd2240	1	0.015343	bac	GCF_013410305.1
34cbf79d909e8f1ae495c663afe8533c	1	0.200053	bac	GCF_900176335.1
51c0365a7d2747d4ae616bb8827bd259	1	0.128699	bac	GCF_005844425.1
69a2b3d870913ef87d0011270fc4d628	1	0.013893	bac	GCF_902753875.1
7e81a2e916b327698c32cc202d12d221	1	0.014799	bac	GCF_900604335.1
b8d74f374aa4c2aedd6922c6a01dab33	1	0.10994	bac	GCA_916988195.3
6fbfde437a40e9aa690f1026f37dc326	1	0.072552	bac	GCF_002285495.1
d4b8d4f3541e81a33ea756ca860f9df7	1	0.225161	bac	GCF_014384765.1
ba198b7d716aa035b5d69719354c84b3	1	0.167085	bac	GCA_020555605.1
fc08817eab3da7644b5105aef1b01be9	1	0.259564	bac	GCA_900767815.1
6cd8940951eac834b1853368c9437e14	1	0.042526	bac	GCF_014287895.1
f733b8aab72ec5e616c24e4e5eb0c480	1	0.107321	bac	GCA_934216185.1
fc2219b0cd7f79400879aabfbbf77712	1	0.159257	bac	GCA_900540345.1
cc309b80a119ec7ab4c0d362d727af8e	1	0.014475	bac	GCA_003584705.1
7ce18fc78acdefcafc13c32ee6216e34	3	0.091543	bac	GCA_018228685.1
7d81fd1bddf1855f6d5a6a92552ce91c	1	0.00015	bac	GCF_000411115.1
cf450c6378dfd42671a15071f6e36085	1	0.120512	bac	GCF_024433635.1
ed1ca8c97014af9a9c4042334c63c4bf	1	0.00015	bac	GCF_002161595.1
7e1ebda3bcd03ab14c688727e7811684	1	0.00015	bac	GCF_000613345.1
376e8fd6b7827c2802f22d4edabcb6d6	7	0.00015	bac	GCF_003591175.1
f67765e1d6f9fc3227ee39c19e136712	2	0.112675	bac	GCA_018223435.1
f797892e763d010b6b395da5dc738368	1	0.014449	bac	GCF_018917935.1
ed3087dff85f8531efb3892b8797dd86	1	0.119069	bac	GCF_900108345.1
3e36d0406aedfc63fddd43a03cae5e4c	1	0.00015	bac	GCF_003634345.1
435c0064f5c3d61e04908235462badf3	1	0.026754	bac	GCF_002161215.1
f9fbfd35ed860ef163101780af4bef91	1	0.024038	bac	GCF_900129655.1
21ed86c61a2b9a9602c64fe4cf1afb30	1	0.211498	bac	GCA_002841545.1
8b3fb534b4202f1cf2fb1cc95442c283	8	0.00015	bac	GCF_004168205.1
c3a9f2b0fbc92a7dd0188c37f1948cc4	1	0.014177	bac	GCA_934153945.1
88fb103ac715c5e970de45418cf02f9f	1	0.11751	bac	GCA_934153945.1
fe504713026bf1afeb0c06546bf30f8d	1	0.029472	bac	GCF_000188175.1
485c0482cac71958f7e1bb3b9173a323	1	0.015454	bac	GCF_022809355.1
567cb3ca4aed0e5be1ded011e793b563	2	0.192402	bac	GCF_023921805.1
844882d0a907471c7ae38cc4ea914576	2	0.268347	bac	GCF_000019165.1
05e4e79eddfe388b5f53c943267bd4ed	1	0.014146	bac	GCF_000172175.1
16682149ff124141645eb38838bb2184	5	0.00207	bac	GCF_900103225.1
430ffb43d4135e269d5e6d24dcfa09d1	1	0.071869	bac	GCF_018917935.1
44820fca89c3940fb6a68cc16a7acd38	1	0.014515	bac	GCF_015557635.1
6416b5e38e4ec777e6595846040557cb	1	0.00015	bac	GCF_020559915.1
8013545e081e593e4556529046e19a85	1	0.014746	bac	GCF_002160815.1
301b7eba278b300f421c9646459c7b2b	1	0.020925	arc	GCA_944319735.1
3798d668e2a28f747b8bd322c4a9363f	1	0.322224	bac	GCF_900176335.1
59f6c5379582b6ea409b079201433499	1	0.068028	bac	GCF_014287875.1
7e16d30da663c92b04861dba8823b9fa	4	0.00015	bac	GCF_019597925.1
b982b334655683cec1875188366f7991	6	0.00015	bac	GCF_019127135.1
8208d3a8900f8f7be653b4d795766583	3	0.036556	bac	GCA_017569285.1
04c162040e339e28c71fd384ffa594d3	1	0.232822	bac	GCA_902791625.1
820da839ecdfe543513889ac856eb852	1	0.095336	bac	GCA_015055625.1
8fee723932ac210f549863d7ea1381ce	1	0.00015	arc	GCA_905187815.1
788784eb7a2ee890be0a3f606ca3a5d6	1	0.318149	bac	GCF_014287275.1
d91be318d35ef4b4bb7410709e147204	1	0.119791	bac	GCF_900197595.1
650acb78ee2801dd57dfec983dfed2e2	1	0.128241	bac	GCF_000154845.1
b0ca6b13bbe9532e031e1af145c22c48	1	0.030975	bac	GCA_905206805.1
401ee2f0835eb2cc823eddeb8a9219e6	1	0.111199	bac	GCF_016901775.1
ecc5376ffb447490a7b95c606c01a7bd	1	0.04916	bac	GCF_014385005.1
68b85322b15f20338f6c0d94e70cb7e9	1	0.153934	bac	GCF_003725415.1
403f72679c3d7928fed0c6850504ad74	5	0.110714	bac	GCF_003991565.1
21bebf681561ab806a0a69b5716df598	1	0.00015	bac	GCF_002899695.1
f1557703c4e8b585f6e8199ae2faee32	1	0.113823	bac	GCF_014384895.1
2a32bf273e79020db61c412ef772e45d	1	0.00015	bac	GCA_902363135.1
80c6730c9331220eeb6357f995122539	1	0.084824	bac	GCF_003458715.1
368c2261123a08b89390ed3e7133a337	1	0.515454	bac	GCA_022706785.1
eb08f2a5f75e45763fac1a37c3d2557b	1	0.014596	bac	GCF_900104635.1
d1aed87b114be5647109505a7b417c4a	1	0.127652	bac	GCF_000239295.1
0ea08ba3348b959f24aaf92817cb8f77	1	0.101857	bac	GCA_934167465.1
8978cbd3ed024ce2e812c34ee9e8c662	1	0.236943	bac	GCF_003477605.1
8cef04568e93c3aba14330c5103788b0	1	0.61637	bac	GCA_014385095.1
e1495d909c02622f3373212e4e7639bc	1	0.138458	bac	GCF_000428105.1
9690e1bdab5af466ba2b7bea3b408b2c	3	0.135266	bac	GCA_017569285.1
4c34fbdf9c025e6b5eeb6b2d012727c6	1	0.135122	bac	GCA_009774765.1
be71cf3546f4dd3de3cccda869c2828f	1	0.120512	bac	GCF_024433635.1
a070d87dcaf47458088c5a8d7a221253	1	0.610167	bac	GCA_900114405.1
1688497ba8407e2bab5f485ffda8469e	1	0.125515	bac	GCA_944391805.1
e1a0bc5cea1533fa2b0e99ddf3323a7a	6	0.014847	bac	GCF_024168045.1
c747effbfdf3820e5118530dc578e89c	1	0.029582	bac	GCF_000205025.1
443e0459efacd70369123a5199202623	6	0.014868	bac	GCA_025150085.1
1c1482baeaa4c22fa03a4d7a1030d8ea	5	0.04366	bac	GCF_012317185.1
f66fa34ce6334956afe144c1fce37691	1	0.26686	bac	GCA_000285855.2
3d6f110f18f7a2f98054660dc2cee67d	1	0.00015	bac	GCA_003460745.1
f05da82d1e9836c1e461159e0cc3ad50	1	0.248707	bac	GCA_015068345.1
7d9ad57944fffbeeafa32e1fd5d44086	1	0.132871	bac	GCA_003460745.1
9462934ee37754d951c6c8d272e944f9	1	0.10994	bac	GCA_916988195.3
5026e1a9bcd4e905e631ff5b785ddfff	1	0.00015	bac	GCF_001280875.1
0da6883a087279d4001b4b30d5d3595b	1	0.135132	bac	GCA_018223385.1
72f10371d97ca6fb02ed4804efa2bd83	1	0.005023	bac	GCF_018784445.1
0bf44f8e181031bf64798452604c659f	3	0.00015	bac	GCF_000427365.1
845c87bf2522dba796ae80c4ac4a7b33	2	0.017016	bac	GCF_011405655.1
c7ef5af3ad34a9f157f6af5fb6a323e0	1	0.219109	bac	GCA_013817245.1
0011cb85aab3f7498d9ff86cb81d93b6	1	0.00015	bac	GCA_025150245.1
8b7875656f79a89d2daa7a27f4eff6f9	1	0.109564	bac	GCA_902363515.1
a1faf0ffebf198d93cceb6a8c96a4be1	1	0.045215	bac	GCA_022846095.1
2948bbba54c124c88d9f60b81fd89171	1	0.00015	bac	GCF_016902345.1
66b2ab9752467f84ecb75d42afdaf0fd	1	0.080666	bac	GCF_013304825.1
15031c04df26766c21704039300043cd	1	0.106638	bac	GCF_018917935.1
ed35d6237c49c97008580bc8b4568495	1	0.258856	bac	GCA_000701945.1
59491a430320e4f5eccaa622b5e8f4b8	1	0.417549	bac	GCA_001830045.1
718fd488c3ca8771d176f69a8a9970f8	1	0.00015	bac	GCF_001434395.1
236ce41382b304313dd2664ac58f63b3	1	0.014995	bac	GCF_001406815.1
3dc241c47b5f8f9099a441099e89a260	1	0.196772	bac	GCA_022009755.1
42a8c1707239ed2691c305b690949853	1	0.014736	bac	GCA_902363665.1
5608ae165e0508d9a01a9cbf36667206	1	0.00015	bac	GCA_900095875.1
aea77ab65d0e3edf07ee8993f790f7e9	1	0.109868	bac	GCA_905206805.1
9d2eba38a66d89be38f3fe342ce8416d	1	0.014413	bac	GCA_934096295.1
d887b1cf69189156634cc0c5ad21d303	1	0.014977	bac	GCA_900112995.1
1f2d544fa747b0d3e9adb84d07dca63d	1	0.015093	bac	GCF_000173975.1
c64aabc9c636824c3bc35c336a9e1a6c	3	0.014067	bac	GCF_018408575.1
dbe5ad55b08be7571f93504e5218b269	1	0.111766	bac	GCF_018982945.1
17b7c467ed2a9eb8b51bfa625e01bc69	1	0.123906	bac	GCA_014385105.1
75ce8a4bb4ea668feb1224f8fcec08e7	4	0.00015	bac	GCF_023167545.1
e107d8a7a414a2af98b50966f3f2e515	1	0.167453	bac	GCA_015056045.1
5145a63f3c6d6bccf8fdd392db43cf18	1	0.238447	bac	GCA_944376295.1
d5f083ea3d2b0b77a3c7f22234203b1c	1	0.091505	bac	GCF_900104675.1
70b87f259e99195ca8a9529c40c34bfc	1	0.032629	bac	GCF_020537505.1
cb78bbe824e2870222f65c66fe3bce6e	1	0.028872	bac	GCF_900209925.1
00913ce8195ab08c34b511d0fc7fea61	2	0.074415	bac	GCA_944391135.1
c9ff385809394660d21eb836ba762aa0	1	0.06152	bac	GCF_000949455.1
11524494c7e67fc89c68490f09490de2	1	0.112462	bac	GCF_002874775.1
25aa0e3e116b9eecff8cb1973d28ed80	1	0.00015	bac	GCA_025152405.1
fc24b2fe25ec49f2068adf84af18c790	1	0.020557	bac	GCF_004535825.1
310029114ff6f3a06342087a78e7557d	1	0.033453	bac	GCF_020537505.1
05366dad672a6fd6bd15114bc7de1438	1	0.00015	bac	GCA_001304875.1
501bd45d48d00e18b5f99e690465bdc9	1	0.119282	bac	GCF_014384905.1
4fd540f5d657d39e09c5d1ebc2fd4f47	2	0.047075	bac	GCA_916438645.1
e2b79eb8a7a635782bff270683539b4c	3	0.282542	bac	GCA_900769075.1
d2e33e0abdc54c7b83e55f0cc02d4bcc	1	0.02983	bac	GCF_003480435.1
c42f8802db7cddb3e8136b44f12c4dfe	1	0.00015	bac	GCF_900113455.1
f74b99d4e44741a8d5e42b4b58998af2	1	0.319443	bac	GCA_000285855.2
539e59f9b79900e6acf3ce1d8bbeb4f8	1	0.16922	bac	GCF_015140235.1
7fbecb52be030f709fa646fd6d8c1173	3	0.268419	bac	GCA_017569305.1
31b67a2b17bcf7d6044e7e4ab1836f28	1	0.125515	bac	GCA_944391805.1
50ce9605c42712be7e150fe883157a7e	1	0.119166	bac	GCF_000466485.1
6476eb03efa323d61d6ae9d808285d5d	1	0.136602	bac	GCA_900315985.1
a2fa0d258e9e8e7e5c08dbf0a6f182cf	1	0.01376	bac	GCF_014384705.1
ccdadf8077b11d0c5451f053f1e75a6b	5	0.027867	bac	GCA_000182945.1
3beb9646e53d0e569db613a62641f0ed	1	0.054628	bac	GCF_002161675.1
96f713d78f9ebafb3fce25bebe586386	1	0.13356	bac	GCF_009935865.1
5d511f9286abfd8eecbbfe292170bae3	1	0.01459	bac	GCF_003574295.1
